18 Mar 2020 12:15:52,661 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,662 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,672 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,906 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,912 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:53,747 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:53,758 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,650 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,655 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,697 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:22,097 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:22,098 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:52,100 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:52,103 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:22,108 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:22,111 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:52,114 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:52,117 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:22,120 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:22,124 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:52,127 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:52,129 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:22,133 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:22,135 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:52,139 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:52,140 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:22,150 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:22,152 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:52,155 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:52,157 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:22,161 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:22,162 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:52,166 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:52,167 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
